Country Name,2021,2020,2019,2018,2017
United States,"$22,996,100,000,000 ","$20,893,743,833,000 ","$21,372,572,437,000 ","$20,527,156,026,000 ","$19,479,620,056,000 "
China,"$17,734,062,645,371 ","$14,687,673,892,882 ","$14,279,937,500,608 ","$13,894,817,549,380 ","$12,310,409,370,894 "
Japan,"$4,937,421,880,462 ","$5,040,107,754,084 ","$5,123,318,151,511 ","$5,037,835,383,111 ","$4,930,837,369,151 "
Germany,"$4,223,116,205,969 ","$3,846,413,928,654 ","$3,888,326,788,627 ","$3,977,289,455,388 ","$3,690,849,152,518 "
United Kingdom,"$3,186,859,739,185 ","$2,756,900,214,107 ","$2,878,673,912,414 ","$2,900,791,442,554 ","$2,699,016,715,111 "
India,"$3,173,397,590,817 ","$2,667,687,951,797 ","$2,831,552,222,520 ","$2,702,929,718,960 ","$2,651,472,946,375 "
France,"$2,937,472,757,953 ","$2,630,317,731,455 ","$2,728,870,246,706 ","$2,790,956,878,747 ","$2,595,151,045,198 "
Italy,"$2,099,880,198,259 ","$1,892,574,064,222 ","$2,011,285,742,552 ","$2,091,932,426,267 ","$1,961,796,197,354 "
Canada,"$1,990,761,609,665 ","$1,645,423,407,568 ","$1,742,015,045,482 ","$1,725,329,192,783 ","$1,649,265,644,244 "
South Korea,"$1,798,533,915,091 ","$1,637,895,802,793 ","$1,651,422,932,448 ","$1,724,845,615,629 ","$1,623,901,496,836 "
Russia,"$1,775,799,919,353 ","$1,488,321,875,490 ","$1,693,113,904,263 ","$1,657,329,646,184 ","$1,574,199,387,071 "
Brazil,"$1,608,981,220,812 ","$1,448,565,936,740 ","$1,873,288,158,977 ","$1,916,933,708,382 ","$2,063,514,688,762 "
Australia,"$1,542,659,899,993 ","$1,327,836,171,069 ","$1,391,952,510,370 ","$1,428,529,571,351 ","$1,326,882,872,011 "
Spain,"$1,425,276,586,283 ","$1,281,484,640,044 ","$1,393,046,093,137 ","$1,420,994,142,512 ","$1,312,539,279,462 "
Mexico,"$1,293,037,866,360 ","$1,087,117,783,073 ","$1,269,404,276,771 ","$1,222,408,203,104 ","$1,158,913,035,796 "
Indonesia,"$1,186,092,991,320 ","$1,058,688,935,455 ","$1,119,099,868,265 ","$1,042,271,531,012 ","$1,015,618,742,566 "
Netherlands,"$1,018,007,056,950 ","$913,865,395,790 ","$910,194,347,569 ","$914,043,438,180 ","$833,869,641,687 "
Saudi Arabia,"$833,541,236,569 ","$703,367,841,223 ","$803,616,264,791 ","$816,578,674,529 ","$688,586,094,413 "
Turkey,"$815,271,751,724 ","$719,954,821,683 ","$761,004,425,605 ","$778,471,901,665 ","$858,996,263,096 "
Switzerland,"$812,866,928,867 ","$752,248,045,730 ","$731,767,398,053 ","$735,539,301,553 ","$704,478,516,964 "
Poland,"$674,048,266,397 ","$596,624,355,720 ","$597,280,564,672 ","$587,411,745,162 ","$526,508,877,305 "
