Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Africa Eastern and Southern,AFE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.56591202,40.40394637,40.23580666,40.26968999,40.1032704,39.93685081,39.77043121,39.60401162,39.43759203,39.27117244,33.98063147,38.9039801,38.70320734,38.50243459,37.89995079,37.70112026,37.50246453,37.30388017,37.10525939,36.9065957,31.91087788,32.18313483,31.97249225,31.76184168,31.55127013,31.34052558,31.11943142,30.90354287,30.69022431,30.46979826,30.2517858
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088
Africa Western and Central,AFW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.77690813,22.65874567,22.54058321,22.42242075,22.3042583,22.18609584,22.06793338,21.94977092,21.83160846,21.713446,21.59528355,21.50315634,21.41102914,21.31890194,21.22677474,21.13464754,21.04252034,20.95039313,20.85826593,20.76613873,20.67401153,20.58605538,20.49809922,20.41014307,20.32218692,20.23423077,20.15261016,20.07132718,19.9860996,19.90121471,19.81676207
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.57807011,63.4534074,63.32874469,63.20408198,63.07941927,62.95475656,62.83009385,62.70543114,62.58076843,62.45610572,62.33144301,61.88621882,61.44099463,60.99577043,60.55054624,60.10532205,59.66009786,59.21487367,58.76964947,58.32442528,57.87920109,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78832117,28.71715328,28.6459854,28.57481752,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.30967153,28.35627737,28.40288321,28.44948905,28.49609489,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.786076798,1.779710346,1.773340738,1.766974298,1.760607857,1.754241426,1.747874986,1.741508546,1.735142105,1.728775665,3.002027967,1.72047383,1.718538434,1.716629651,1.714695751,1.712758798,1.710812455,1.708872217,1.706933506,1.7053773,2.859551987,2.97909048,2.960547902,2.942050711,2.923542713,2.905073453,2.887458066,2.868050195,2.848500463,2.830678707,2.812928807
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44973247,3.540453393,3.631174317,3.721895241,3.812616164,3.903337088,3.994058012,4.084778936,4.175499859,4.266220783,4.356941707,4.368023092,4.379104478,4.390185863,4.401267249,4.412348634,4.42343002,4.434511405,4.445592791,4.456674176,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86371493,12.79699199,12.73026905,12.66354611,12.59682317,12.53010023,12.46337729,12.39665435,12.32993141,12.26320847,12.19648554,12.08087142,11.9652573,11.84964318,11.73402906,11.61841495,11.50280083,11.38718671,11.27157259,11.15595848,11.04034436,10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488
